Nombre;Latitud;Longitud;Municipio;Departamento;Provincia
SAN FRANCISCO DE ALFARCITO;-23,27530252;-65,94638046;BARRANCAS;COCHINOCA;JUJUY
SANTA ANA DE LA PUNA;-23,1466006;-66,03210333;BARRANCAS;COCHINOCA;JUJUY
TUSAQUILLAS;-23,17094554;-65,9732428;BARRANCAS;COCHINOCA;JUJUY
SANTA ANA;-23,1474247;-66,03121948;BARRANCAS;COCHINOCA;JUJUY
TRANCAS;-23,04800797;-66,13256073;BARRANCAS;COCHINOCA;JUJUY
RINCONADILLAS;-23,28866435;-65,94123354;BARRANCAS;COCHINOCA;JUJUY
SALADO;-23,04861069;-66,09285736;BARRANCAS;COCHINOCA;JUJUY
ABDON CASTRO TOLAY;-23,3386411;-66,09014323;BARRANCAS;COCHINOCA;JUJUY
SANTUARIO DE TRES POZOS;-23,51550696;-65,94761287;BARRANCAS;COCHINOCA;JUJUY
TOLARITO;-23,29167366;-66,08133698;BARRANCAS;COCHINOCA;JUJUY
COCHAGOSTA;-22,96981538;-65,87698176;ABRALAITE;COCHINOCA;JUJUY
RIO GRANDE;-23,15118599;-65,74859619;ABRALAITE;COCHINOCA;JUJUY
QUERA;-23,10083936;-65,76286386;ABRALAITE;COCHINOCA;JUJUY
AGUA DE CASTILLA;-23,21611073;-65,81268328;ABRALAITE;COCHINOCA;JUJUY
QUEBRALEÑA;-23,28587029;-65,77008825;ABRALAITE;COCHINOCA;JUJUY
ABRALAITE;-23,15381683;-65,7853352;ABRALAITE;COCHINOCA;JUJUY
QUETA;-22,67947;-65,97212;ABRA PAMPA;COCHINOCA;JUJUY
CASABINDO;-22,94390523;-66,02873304;ABRA PAMPA;COCHINOCA;JUJUY
RUMI CRUZ;-22,78299;-65,53514;ABRA PAMPA;COCHINOCA;JUJUY
SAUZALITO;-22,93206062;-65,73971367;ABRA PAMPA;COCHINOCA;JUJUY
TAMBILLOS;-22,88957497;-65,96301377;ABRA PAMPA;COCHINOCA;JUJUY
PASAJES;-22,78183018;-65,7965589;ABRA PAMPA;COCHINOCA;JUJUY
ORATORIO;-22,92445374;-65,73638916;ABRA PAMPA;COCHINOCA;JUJUY
QUINILICAN;-22,97091866;-65,73339081;ABRA PAMPA;COCHINOCA;JUJUY
RACHAITE;-22,84839199;-66,16150062;ABRA PAMPA;COCHINOCA;JUJUY
MIRAFLORES DE LA CANDELARIA;-22,8300314;-65,87354383;ABRA PAMPA;COCHINOCA;JUJUY
SAN JOSE;-22,79004288;-66,44138336;ABRA PAMPA;COCHINOCA;JUJUY
ENCRUCIJADA;-22,88567543;-66,45825195;ABRA PAMPA;COCHINOCA;JUJUY
SANTA ROSA;-22,64805;-65,84292;ABRA PAMPA;COCHINOCA;JUJUY
AGUA CHICA;-22,93513489;-65,75363922;ABRA PAMPA;COCHINOCA;JUJUY
OJO DE AGUA;-22,94523621;-66,34163666;ABRA PAMPA;COCHINOCA;JUJUY
AGUA CALIENTE DE LA PUNA;-22,84146227;-66,07927857;ABRA PAMPA;COCHINOCA;JUJUY
SAYATE;-22,88455359;-65,81104492;ABRA PAMPA;COCHINOCA;JUJUY
COCHINOCA;-22,74190054;-65,89729251;ABRA PAMPA;COCHINOCA;JUJUY
ABRA PAMPA;-22,72156977;-65,69321375;ABRA PAMPA;COCHINOCA;JUJUY
TABLADITAS;-22,74796608;-65,59148512;ABRA PAMPA;COCHINOCA;JUJUY
DONCELLAS;-22,82596413;-66,03969218;ABRA PAMPA;COCHINOCA;JUJUY
PUESTO DEL MARQUEZ;-22,53517977;-65,69883994;PUESTO DEL MARQUEZ;COCHINOCA;JUJUY
MACHO CRUZ;-22,54925919;-65,7928772;PUESTO DEL MARQUEZ;COCHINOCA;JUJUY
PUEBLO VIEJO;-22,49447524;-65,64193978;PUESTO DEL MARQUEZ;COCHINOCA;JUJUY
LA REDONDA;-22,52897922;-65,52278065;PUESTO DEL MARQUEZ;COCHINOCA;JUJUY
POTRERO;-22,6604505;-65,54277264;PUESTO DEL MARQUEZ;COCHINOCA;JUJUY
ARBOLITO NUEVO;-22,59393;-65,85036;PUESTO DEL MARQUEZ;COCHINOCA;JUJUY
SAN JOSE DE CHIJRA;-24,1587721;-65,29728933;SAN SALVADOR DE JUJUY;DOCTOR MANUEL BELGRANO;JUJUY
TERMAS DE REYES;-24,17034952;-65,48924539;SAN SALVADOR DE JUJUY;DOCTOR MANUEL BELGRANO;JUJUY
SAN SALVADOR DE JUJUY;-24,19535779;-65,30245064;SAN SALVADOR DE JUJUY;DOCTOR MANUEL BELGRANO;JUJUY
GUERRERO;-24,1861828;-65,44463125;SAN SALVADOR DE JUJUY;DOCTOR MANUEL BELGRANO;JUJUY
LA ALMONA;-24,26075382;-65,39573769;SAN SALVADOR DE JUJUY;DOCTOR MANUEL BELGRANO;JUJUY
REYES;-24,1618149;-65,38085749;SAN SALVADOR DE JUJUY;DOCTOR MANUEL BELGRANO;JUJUY
JUAN GALAN;-24,21699715;-65,38698578;SAN SALVADOR DE JUJUY;DOCTOR MANUEL BELGRANO;JUJUY
TILQUIZA;-24,07627356;-65,27857992;SAN SALVADOR DE JUJUY;DOCTOR MANUEL BELGRANO;JUJUY
SAN PABLO DE REYES;-24,1436589;-65,48291998;YALA;DOCTOR MANUEL BELGRANO;JUJUY
TIRAXI GRANDE;-23,9924202;-65,32841492;YALA;DOCTOR MANUEL BELGRANO;JUJUY
LAS CAPILLAS;-24,08057404;-65,13447571;YALA;DOCTOR MANUEL BELGRANO;JUJUY
LEON;-24,03596327;-65,4315559;YALA;DOCTOR MANUEL BELGRANO;JUJUY
OCLOYAS;-23,90965383;-65,19550658;YALA;DOCTOR MANUEL BELGRANO;JUJUY
LOZANO;-24,07735974;-65,40470048;YALA;DOCTOR MANUEL BELGRANO;JUJUY
JAIRE;-24,03849791;-65,40797847;YALA;DOCTOR MANUEL BELGRANO;JUJUY
DURAZNAL;-23,93824196;-65,22867584;YALA;DOCTOR MANUEL BELGRANO;JUJUY
OVEJERIA;-24,06103134;-65,64737701;YALA;DOCTOR MANUEL BELGRANO;JUJUY
YERBA BUENA;-24,05524445;-65,23822784;YALA;DOCTOR MANUEL BELGRANO;JUJUY
DESPENSA;-24,02938843;-65,64742279;YALA;DOCTOR MANUEL BELGRANO;JUJUY
LOS NOGALES;-24,08402705;-65,47608463;YALA;DOCTOR MANUEL BELGRANO;JUJUY
TIRAXI;-23,99794718;-65,3250004;YALA;DOCTOR MANUEL BELGRANO;JUJUY
YALA;-24,12175462;-65,41457262;YALA;DOCTOR MANUEL BELGRANO;JUJUY
TESORERO;-23,94829809;-65,29846132;YALA;DOCTOR MANUEL BELGRANO;JUJUY
PAYO;-24,04183769;-65,27531433;YALA;DOCTOR MANUEL BELGRANO;JUJUY
SAN JUANCITO;-24,38319448;-64,99583706;PERICO;EL CARMEN;JUJUY
SEVERINO;-24,35132;-65,20059;PERICO;EL CARMEN;JUJUY
EL CADILLAL;-24,38914681;-65,098732;PERICO;EL CARMEN;JUJUY
EL CHAMICAL;-24,39489;-65,19883;PERICO;EL CARMEN;JUJUY
